,ts_code,name,start_date,end_date,change_reason
0,000039.SZ,中集集团,20061009,,摘G
1,000039.SZ,G中集,20060524,20061008,完成股改
2,000039.SZ,中集集团,19980101,20060523,其他
3,000039.SZ,深中集A,19940408,19971231,其他
,ts_code,name,start_date,end_date,change_reason
0,000040.SZ,东旭蓝天,20160715,,改名
1,000040.SZ,宝安地产,20110620,20160714,改名
2,000040.SZ,深鸿基,20061009,20110619,摘G
3,000040.SZ,G深鸿基,20060228,20061008,完成股改
4,000040.SZ,深鸿基A,20050526,20060227,撤销ST
5,000040.SZ,ST鸿基,20040510,20050525,摘星
6,000040.SZ,*ST鸿基,20030512,20040509,*ST
7,000040.SZ,ST鸿基,20030418,20030511,ST
8,000040.SZ,深鸿基A,19940808,20030417,其他
,ts_code,name,start_date,end_date,change_reason
0,000042.SZ,中洲控股,20140314,,改名
1,000042.SZ,深长城,20061009,20140313,摘G
2,000042.SZ,G深长城,20060901,20061008,完成股改
3,000042.SZ,深长城A,19940921,20060831,其他
,ts_code,name,start_date,end_date,change_reason
0,000043.SZ,中航善达,20180601,,改名
1,000043.SZ,中航地产,20071130,20180531,改名
2,000043.SZ,深南光A,20061009,20071129,摘G
3,000043.SZ,G深南光,20060411,20061008,完成股改
4,000043.SZ,深南光A,19940928,20060410,其他
,ts_code,name,start_date,end_date,change_reason
0,000045.SZ,深纺织A,20061009,,摘G
1,000045.SZ,G深纺A,20060911,20061008,完成股改
2,000045.SZ,深纺织A,19940815,20060910,其他
,ts_code,name,start_date,end_date,change_reason
0,000046.SZ,泛海控股,20140430,,改名
1,000046.SZ,泛海建设,20061009,20140429,摘G
2,000046.SZ,G泛海,20060324,20061008,完成股改
3,000046.SZ,泛海建设,20051210,20060323,改名
4,000046.SZ,光彩建设,19990804,20051209,改名
5,000046.SZ,南油物业,19940912,19990803,其他
,ts_code,name,start_date,end_date,change_reason
0,000048.SZ,*ST康达,20180702,,*ST
1,000048.SZ,康达尔,20120531,20180701,撤销ST
2,000048.SZ,ST康达尔,20080520,20120530,摘星
3,000048.SZ,*ST康达,20070426,20080519,*ST
4,000048.SZ,康达尔A,20061009,20070425,摘G
5,000048.SZ,G康达尔,20060214,20061008,完成股改
6,000048.SZ,康达尔A,20050513,20060213,撤销ST
7,000048.SZ,ST康达尔,20011029,20050512,改名
8,000048.SZ,ST中科,20010508,20011028,ST
9,000048.SZ,中科创业,19991213,20010507,改名
10,000048.SZ,康达尔A,19941101,19991212,其他
,ts_code,name,start_date,end_date,change_reason
0,000049.SZ,德赛电池,20061009,,摘G
1,000049.SZ,G德赛,20051227,20061008,完成股改
2,000049.SZ,德赛电池,20050628,20051226,改名
3,000049.SZ,深万山,20050316,20050627,撤销ST
4,000049.SZ,ST万山,20040212,20050315,ST
5,000049.SZ,深万山A,19990610,20040211,撤销ST
6,000049.SZ,ST深万山,19980610,19990609,ST
7,000049.SZ,深万山A,19950320,19980609,其他
,ts_code,name,start_date,end_date,change_reason
0,000050.SZ,深天马A,20061009,,摘G
1,000050.SZ,G深天马,20060426,20061008,完成股改
2,000050.SZ,深天马A,19950315,20060425,其他
,ts_code,name,start_date,end_date,change_reason
0,000055.SZ,方大集团,20100122,,其他
1,000055.SZ,方大A,20061009,20100121,摘G
2,000055.SZ,G方大A,20060410,20061008,完成股改
3,000055.SZ,方大A,20020508,20060409,其他
4,000055.SZ,深圳方大,19960415,20020507,其他
,ts_code,name,start_date,end_date,change_reason
0,000056.SZ,皇庭国际,20150918,,改名
1,000056.SZ,深国商,20140331,20150917,撤销*ST
2,000056.SZ,*ST国商,20120423,20140330,*ST
3,000056.SZ,深国商,20061009,20120422,摘G
4,000056.SZ,G深国商,20060106,20061008,完成股改
5,000056.SZ,深国商,19960708,20060105,其他
,ts_code,name,start_date,end_date,change_reason
0,000058.SZ,深赛格,20090630,,撤销ST
1,000058.SZ,ST赛格,20080520,20090629,摘星
2,000058.SZ,*ST赛格,20070427,20080519,*ST
3,000058.SZ,深赛格,20061009,20070426,摘G
4,000058.SZ,G赛格,20060614,20061008,完成股改
5,000058.SZ,深赛格,19961226,20060613,其他
,ts_code,name,start_date,end_date,change_reason
0,000059.SZ,华锦股份,20160420,,撤销*ST
1,000059.SZ,*ST华锦,20150415,20160419,*ST
2,000059.SZ,华锦股份,20140305,20150414,改名
3,000059.SZ,辽通化工,20061009,20140304,摘G
4,000059.SZ,G辽通,20051025,20061008,完成股改
5,000059.SZ,辽通化工,19970130,20051024,其他
,ts_code,name,start_date,end_date,change_reason
